left,bottom,right,top,gid,CCTV,경사도,공원,관공서,주차장,주택가,POP,sum,rank
129.021,35.152,129.022,35.153,887,0.0,0.08403361344537816,0.0,1.0,0.0,0.10294117647058823,0.014578482275863065,1.2015532721918294,71
129.071,35.152,129.072,35.153,1227,0.0,0.3165266106442577,0.0,0.0,0.0,0.7352941176470588,0.14925106904049096,1.2010717973318072,72
129.056,35.151,129.057,35.152,727,0.0,0.1484593837535014,0.0,0.0,0.75,0.20588235294117646,0.0939261144777249,1.1982678511724028,73
129.063,35.168,129.064,35.169,339,0.3333333333333333,0.08403361344537816,0.0,0.0,0.0,0.6323529411764706,0.14766016323657735,1.1973800511917592,74
129.044,35.167,129.045,35.168,461,0.3333333333333333,0.10644257703081232,0.0,0.0,0.0,0.6029411764705882,0.15287640590274262,1.1955934927374763,75
129.063,35.171,129.064,35.172,918,0.0,0.1484593837535014,0.0,0.0,0.0,0.7058823529411764,0.3291921573164794,1.1835338940111573,76
129.038,35.153,129.039,35.154,1081,0.3333333333333333,0.23249299719887956,0.0,0.0,0.0,0.4117647058823529,0.19972617136465973,1.1773172077792255,77
129.041,35.169,129.042,35.17,332,0.0,0.18487394957983194,0.0,0.0,0.25,0.5441176470588235,0.19346378760925426,1.1724553842479097,78
129.062,35.169,129.063,35.17,1492,0.0,0.3585434173669468,0.0,0.0,0.0,0.5882352941176471,0.22305463556204774,1.1698333470466415,79
129.037,35.151,129.038,35.152,1053,0.3333333333333333,0.24929971988795518,0.0,0.0,0.0,0.47058823529411764,0.11547565673073679,1.1686969452461429,80
129.027,35.15,129.028,35.151,1376,0.3333333333333333,0.18487394957983194,0.0,0.0,0.0,0.5,0.1502345380829103,1.1684418209960754,81
129.054,35.173,129.055,35.174,105,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.5735294117647058,0.11767882022282322,1.167398708178005,82
129.061,35.147,129.062,35.148,996,0.0,0.04481792717086835,0.0,1.0,0.0,0.058823529411764705,0.06335179748251209,1.1669932540651453,83
129.052,35.172,129.053,35.173,78,0.0,0.06442577030812326,0.0,1.0,0.0,0.08823529411764705,0.008677668021347062,1.1613387324471174,84
129.054,35.153,129.055,35.154,555,0.0,0.11484593837535013,0.0,0.0,0.0,0.044117647058823525,1.0,1.1589635854341735,85
129.041,35.163,129.042,35.164,1248,0.0,0.5042016806722689,0.0,0.0,0.0,0.5294117647058824,0.11632896075283591,1.149942406130987,86
129.058,35.164,129.059,35.165,941,0.3333333333333333,0.3081232492997199,0.0,0.0,0.0,0.45588235294117646,0.035674857421093484,1.133013792995323,87
129.017,35.153,129.018,35.154,2742,0.3333333333333333,0.20448179271708683,0.0,0.0,0.0,0.5882352941176471,0.0,1.1260504201680672,88
